title,price,rating
"Infinix Smart 6, 6.6"", 32GB + 2GB RAM (Dual SIM), 5000mAh, Quartz Cyan","KSh 9,995",4.7 out of 5
"XIAOMI Redmi 9C 6.53'', 4GB+128GB, 13MP+2MP+2MP Camera, 4G, Dual SIM - Grey","KSh 15,099",4.4 out of 5
Not found,error,error
"Realme C30s 6.5'' Display, 4GB RAM + 64GB (Dual Sim ) 5000mAh, Blue","KSh 11,499",5 out of 5
Oppo R9 Plus-Used/Renewed 4G Smartphone Global Rom With Google,"KSh 6,999",4 out of 5
Oppo A83 64GB+4GB RAM - 4G LTE Dual SIM - 5.7-inch Display - Face Unlock-(Blue),"KSh 7,400",4.1 out of 5
Oppo A83 64GB+4GB RAM - 4G LTE Dual SIM - Compact 5.7-inch Display - Face Unlock,"KSh 7,400",4.4 out of 5
"Nokia C1 2nd Edition, 5.45"", 1GB +16GB - (DUAL SIM),Android 11, Blue","KSh 7,359",4.2 out of 5
"Samsung Galaxy A23, 6.6″, 64GB + 4GB RAM (Dual SIM), 5000mAh, Blue","KSh 22,463",4.4 out of 5
"Oppo A16k, 6.52"", 32GB + 3GB RAM (Dual SIM), 4230mAh - Black","KSh 12,799",4.8 out of 5
"Infinix NOTE 12i, 6.82"", 128GB + 4GB (Dual SIM), 5000mAh, Black","KSh 19,399",5 out of 5
"Tecno CAMON 19, 6.8"", 128GB+ 4GB (Dual SIM), (4G LTE) 5000mAh, Eco Black","KSh 21,399",4.3 out of 5
X Tigi S23 Mini - 1.77'' - Big Torch - Big Speaker - 2000mAh - Black,"KSh 1,349",3.7 out of 5
Oppo A83 4GB RAM+64GB - 4G LTE Dual SIM - 5.7-inch Display - Face Unlock Red,"KSh 9,390",4 out of 5
"Tecno Pop 6 GO, 6"", 32GB + 2GB RAM ,(Dual SIM), 4000mAh,  + CLASSIC GIFTS","KSh 9,780",4.5 out of 5
